naziv,kategorija,lokacija
Muzej Turopolja,Muzej,Velika Gorica
Muzej Valpovštine,Muzej,Valpovo
Muzej vinogradarstva i vinarstva,Muzej,Putnikovići
Muzej vučedolske kulture,Muzej,Vukovar
Muzej za umjetnost i obrt,Muzej,Zagreb
Muzeji grada Karlovca,Muzej,Karlovac
Muzeji Hrvatskog zagorja,Muzej,Gornja Stubica
Muzeji i galerije Konavala,Muzej,Gruda
Muzeji Ivana Meštrovića,Muzej,Split
Muzejska zavičajna zbirka Grada Novske,Muzej,Novska
Muzejske zbirke Centra za kulturu Vela Luka,Muzej,Vela Luka
Muzejski dokumentacijski centar,Muzej,Zagreb
Muzejsko kazališna zbirka HAZU,Muzej,Zagreb
Nacionalni muzej moderne umjetnosti,Muzej,Zagreb
Narodni muzej i galerija Novi Vinodolski,Muzej,Novi Vinodolski
Narodni muzej Labin,Muzej,Labin
Narodni muzej Zadar,Muzej,Zadar
Pomorski i povijesni muzej Hrvatskog primorja,Muzej,Rijeka
Pomorski muzej Orebić,Muzej,Orebić
Povijesni i pomorski muzej Istre,Muzej,Pula
Prirodoslovni muzej Dubrovnik,Muzej,Dubrovnik
Prirodoslovni muzej i zoološki vrt,Muzej,Split
Prirodoslovni muzej Metković,Muzej,Metković
Prirodoslovni muzej Rijeka,Muzej,Rijeka
Samoborski muzej,Muzej,Samobor
Spomen-muzej biskupa Josipa Jurja Strossmayera,Muzej,Đakovo
Spomen galerija Ivana Meštrovića,Muzej,Vrpolje
Stalna izložba crkvene umjetnosti,Muzej,Zadar
Strossmayerova galerija starih majstora,Muzej,Zagreb
Tehnički muzej Nikola Tesla,Muzej,Zagreb
Tiflološki muzej,Muzej,Zagreb
Umjetnička galerija Dubrovnik,Muzej,Dubrovnik
Umjetnički paviljon u Zagrebu,Muzej,Zagreb
Vojni muzej MORH-a,Muzej,Zagreb
Zavičajna zbirka grada Ploča,Muzej,Ploče
Zavičajni muzej Benkovac,Muzej,Benkovac
Zavičajni muzej Biograd na moru,Muzej,Biograd na Moru
Zavičajni muzej Buzet,Muzej,Buzet
Zavičajni muzej Daruvar,Muzej,Daruvar
Zavičajni muzej Grada Visa,Muzej,Vis
Zavičajni muzej Imotski,Muzej,Imotski
Zavičajni muzej Našice,Muzej,Našice
Zavičajni muzej Obrovac,Muzej,Obrovac
Zavičajni muzej Ogulin,Muzej,Ogulin
Zavičajni muzej Ozalj,Muzej,Ozalj
Zavičajni muzej Poreštine,Muzej,Poreč
Zavičajni muzej Slatina,Muzej,Slatina
Zavičajni muzej Varaždinske Toplice,Muzej,Varaždinske Toplice
